SUB_1,SUB_1 Lat,SUB_1 Long,SUB_2,SUB_2 Lat,SUB_2 Long,Shape__Length
TERMINAL,,,KOHLMAN LAKE,,,23406.34676
UNKNOWN114752,,,UNKNOWN114754,,,12153.20505
UNKNOWN116219,,,TAP151311,,,10669.85654
UNKNOWN124699,,,TAP138148,,,1254.138627
TAP134035,,,UNKNOWN208316,,,5393.649203
UNKNOWN110702,,,UNKNOWN110703,,,35725.52088
UNKNOWN114685,,,UNKNOWN114705,,,2303.884807
UNKNOWN118833,,,UNKNOWN118918,,,38074.49981
UNKNOWN107988,,,TAP154816,,,56741.7221
UNKNOWN108050,,,UNKNOWN117262,,,2788.662822
TAP140459,,,CLAY,,,6059.329959
UNKNOWN114699,,,UNKNOWN114871,,,11108.55969
TAP141081,,,RICHMOND,,,12702.45802
TAP139473,,,PINCKNEYVILLE STATION,,,20336.63719
GLEN HEAD,,,BROOKVILLE,,,8817.966711
LAKEFIELD JUNCTION,,,NOT AVAILABLE,,,218.6419326
UNKNOWN116173,,,TAP142233,,,4517.150994
WEST AMESBURY,,,TAP137045,,,30533.81263
UNKNOWN112359,,,SMITHFIELD FARMLAND CORP BLADEN,,,694.7249751
PLEASANT STREET,,,SUMMER STREET,,,2427.88211
UNKNOWN111010,,,NOT AVAILABLE,,,434.3410259
TAP149012,,,TAP149013,,,28716.94351
TAP152023,,,UNKNOWN152035,,,8081.360755
UNKNOWN127513,,,UNKNOWN145481,,,7147.770396
UNKNOWN129603,,,WASECA,,,1036.731463
BAILEYSVILLE,,,WYOMING,,,11817.32234
UNKNOWN114384,,,TAP148336,,,75.23939036
UNKNOWN125513,,,TAP137563,,,28038.50374
UNKNOWN116146,,,TAP142213,,,2664.195377
KENNEDY,,,GEORGIA,,,5681.626332
TAP155576,,,TAP155577,,,18415.66437
TAP140478,,,CARBON CENTER,,,210.4786409
UNKNOWN119422,,,TAP149228,,,3633.178455
UNKNOWN127763,,,TAP138741,,,2732.970603
UNKNOWN107720,,,MCCLELLAN (AR),,,13286.58029
BLOUNTSVILLE,,,TAP145836,,,83.17383313
UNKNOWN116292,,,TAP143349,,,6499.187475
TAP152493,,,CENTRAL TIE,,,268.4170617
BYBERRY,,,BURHOLME,,,13332.4703
UNKNOWN131965,,,AXTELL,,,24755.63735
O CONNOR,,,96TH ST,,,3835.427564
SUNLAKE SUBSTATION,,,DENHAM,,,6430.4049
TAP140371,,,TAP140372,,,2835.773543
TAP143116,,,DRIFTON,,,9723.703562
FIRSTENERGY SPRINGDALE POWER STATION,,,UNKNOWN123970,,,36754.48735
TAP148889,,,UNKNOWN168673,,,10911.13818
UNKNOWN121884,,,UNKNOWN121885,,,11256.59417
UNKNOWN107941,,,UNKNOWN107943,,,8169.982596
TAP136604,,,BALLSTON,,,920.4849011
UNKNOWN123716,,,TAP140202,,,3413.979568
UNKNOWN109553,,,UNKNOWN109971,,,3389.723046
FARMINGTON,,,TAP138437,,,17817.35074
BRENTWOOD,,,DEER PARK,,,5801.127412
FORT RANDALL,,,LAKE PLATTE,,,96298.44482
YUKON,,,WESTRAVER,,,6128.635686
UNKNOWN117524,,,TAP154696,,,3437.099201
POST ROCK,,,SPEARVILLE,,,183143.7806
UNKNOWN132947,,,GILBERT,,,391.8773585
TAP145963,,,TAP145964,,,3544.420572
TAP143380,,,LULING,,,13894.02049
UNKNOWN111761,,,TAP142698,,,31.90567622
TAP144745,,,SHUQUALAK,,,45.94818642
TAP138037,,,TAP138038,,,4690.948933
UNKNOWN124814,,,UNKNOWN124815,,,12019.05439
TEWKSBURY SUBSTATION,,,TAP140675,,,3464.49058
FORT DODGE,,,UNKNOWN119661,,,698.6432253
TAP149346,,,TAP149347,,,151.4631519
LANCASTER COUNTY RESOURCE RECOVERY,,,MIDDLETOWN JUNCTION,,,19048.1452
GREEN ENERGY CENTER,,,GREENLAND,,,2156.24701
TAP140248,,,TAP140249,,,6368.995197
UNKNOWN121690,,,TAP150590,,,32773.31049
INDUSTRIAL PARK,,,GREENWICH,,,10505.55602
UNKNOWN110326,,,UNKNOWN110327,,,7253.048782
UNKNOWN116476,,,ST JOHNS DP,,,12625.30886
TAP153228,,,TAP153229,,,48.05859757
UNKNOWN117343,,,UNKNOWN117539,,,5884.043761
UNKNOWN123883,,,TAP144367,,,4409.06549
UNKNOWN129302,,,UNKNOWN129343,,,18158.96097
UNKNOWN125236,,,TAP138341,,,67.00546673
UNKNOWN132522,,,UNKNOWN132523,,,4574.600006
UNKNOWN114142,,,NORCO,,,243.9636951
UNKNOWN119001,,,UNKNOWN119092,,,12303.97539
MOUNDSVILLE,,,TAP151282,,,2371.139613
UNKNOWN123734,,,TAP140239,,,12699.06735
GILLETTE,,,SUMMIT,,,10899.29955
UNKNOWN128355,,,UNKNOWN130103,,,688.3749554
ELLINWOOD,,,SUNSET POINT,,,8424.035351
UNKNOWN131894,,,UNKNOWN131940,,,2135.402792
UNKNOWN123578,,,TAP141295,,,823.543837
UNKNOWN114808,,,TAP152822,,,6350.610378
TAP135114,,,UNKNOWN135663,,,5880.636152
TAP135034,,,TAP135035,,,1942.529563
UNKNOWN136406,,,ASH CREEK,,,10075.87964
DELPHI,,,TAP140411,,,24144.24792
UNKNOWN122850,,,C-35 (DOE),,,420.649055
TAP134843,,,SOUTH RAPID CITY,,,7530.308385
TAP144419,,,MONROE CENTRAL,,,758.763327
UNKNOWN122289,,,TAP138146,,,437.9560142
UNKNOWN124785,,,TAP155473,,,9213.05393
TAP151191,,,KODAK ROAD,,,20.72734746
TAP142809,,,TAP142810,,,27.36538454
TAP138352,,,TAP160267,,,8013.217123
UNKNOWN107981,,,TAP154833,,,9381.829787
UNKNOWN125588,,,TAP139960,,,13647.85575
TYSONS,,,SWINKS MILL,,,5781.666082
UNKNOWN115254,,,TAP147409,,,5628.887443
UNKNOWN145065,,,TAP145067,,,10257.50734
BLACK OAK,,,BLACK OAK,,,498.7391978
UNKNOWN115346,,,GOODLETTSVILLE,,,3429.618842
UNKNOWN107685,,,UNKNOWN121036,,,5362.489781
UNKNOWN121001,,,TAP142384,,,20466.4297
FAWKES SWITCHING STATION,,,UNKNOWN122441,,,37299.77392
UNKNOWN109017,,,TAP143215,,,27.78507975
UNKNOWN121952,,,TAP137886,,,180.4518111
UNKNOWN116653,,,WALLACE LAKE,,,33568.34276
TAP142118,,,KRAFT SUBSTATION,,,1270.867999
UNKNOWN112540,,,NORTH SLIDELL,,,33735.09034
UNKNOWN132780,,,MONROE,,,1580.071794
UNKNOWN127516,,,TAP140363,,,959.7643149
NORWALK,,,WESTON,,,8243.923889
COLUMBIA,,,FOXWORTH,,,17448.41422
UNKNOWN116946,,,UNKNOWN116947,,,11647.00768
UNKNOWN114462,,,TAP154888,,,240.4415578
TAP142209,,,TAP142210,,,20.62161458
UNKNOWN110988,,,TAP151691,,,56.79032963
UNKNOWN132634,,,RISER137696,,,1767.545179
UNKNOWN114997,,,UNKNOWN115021,,,6707.452706
UNKNOWN110726,,,UNKNOWN110727,,,15909.90455
"WATERFORD POWER, LLC",,,SPORN,,,95162.86586
UNKNOWN124368,,,TAP140170,,,4618.555081
LITCHFIELD,,,NOT AVAILABLE,,,171.9791945
UNKNOWN114699,,,UNKNOWN114704,,,11922.52867
UNKNOWN128578,,,UNKNOWN128581,,,5835.236022
UNKNOWN116587,,,WYLIE,,,10806.75248
UNKNOWN120383,,,GROVE,,,5956.743732
WINTERSET JUNCTION,,,NORWALK,,,40238.35254
TAP136404,,,OAKWOOD,,,5198.92048
UNKNOWN109882,,,NOT AVAILABLE,,,12445.03677
UNKNOWN110348,,,TAP145945,,,8465.380486
VENICE,,,TAP139447,,,2763.195371
UNKNOWN119896,,,UNKNOWN119897,,,20091.83784
TAP137252,,,FOWLES,,,10061.04381
UNKNOWN109641,,,UNKNOWN109642,,,7598.581761
UNKNOWN120835,,,NASHUA,,,65911.98911
UNKNOWN128780,,,UNKNOWN129889,,,17731.78344
UNKNOWN122695,,,TAP139410,,,9897.506404
BAKER,,,BROADFORD (765 KV),,,256425.6253
WEBSTER,,,MONUMENT,,,4632.047931
UNKNOWN122964,,,UNKNOWN122965,,,122.2099343
UNKNOWN118409,,,TAP148910,,,4175.862631
UNKNOWN122794,,,UNKNOWN122818,,,8297.777526
STARKEY,,,POAGES MILL,,,5645.731381
UNKNOWN120017,,,TAP138779,,,8692.556501
EASTGATE,,,CAIRO BEND,,,15200.77416
UNKNOWN130295,,,UNKNOWN130296,,,6877.678424
LONDON,,,TAP148479,,,1743.860618
MERAMEC,,,TAP139459,,,9644.623365
UNKNOWN113410,,,HARLLEE BRANCH,,,39579.43148
TAP148401,,,TAP148402,,,8185.235607
TAP141067,,,FITZPATRICK,,,1414.264187
MERRIMACK,,,TAP137063,,,18514.52462
UNKNOWN125392,,,TAP139006,,,5929.383159
RIVERSIDE,,,LAWRENCE,,,5989.483416
UNKNOWN134028,,,TAP134035,,,321.8924508
ROSETON,,,DANSKAMMER,,,1644.795257
UNKNOWN117681,,,TAP138932,,,2988.522967
UNKNOWN131924,,,UNKNOWN131927,,,9823.150056
UNKNOWN111339,,,TAP142345,,,7575.914072
WATERCURE,,,HILLSIDE,,,3113.840674
UNKNOWN151522,,,LEESBURG CENTRAL,,,5139.359346
KINGSLAND,,,COOK ROAD,,,7882.697601
UNKNOWN129096,,,SUGARLOAF,,,224.7231176
UNKNOWN109197,,,TAP145979,,,376.5771596
TAP148730,,,UNKNOWN159613,,,30088.11627
UNKNOWN112023,,,TAP148418,,,75.24144219
TAP143431,,,TAP143432,,,5648.56284
UNKNOWN120411,,,TAP150501,,,212.6762738
UNKNOWN116754,,,REMINGTON CT,,,7190.0726
DEANS,,,EAST WINDSOR,,,32827.67381
UNKNOWN119202,,,TAP148996,,,8263.128817
WESTHAVEN,,,ASPEN GROVE,,,10696.30773
UNKNOWN110332,,,TAP153139,,,4311.737542
SMITHBURG,,,LARRABEE,,,25478.31077
UNKNOWN130193,,,UNKNOWN135781,,,710.4214731
SAPONY,,,CARSON,,,23846.84633
UNKNOWN121939,,,TAP137871,,,29907.45325
UNKNOWN120466,,,UNKNOWN120469,,,8780.329632
UNKNOWN124449,,,UNKNOWN124450,,,462.8301671
UNKNOWN113394,,,TAP154441,,,18582.24285
UNKNOWN112888,,,TAP137588,,,6429.767946
UNKNOWN124287,,,TAP153071,,,2075.511803
UNKNOWN109013,,,OPP,,,7489.413806
UNKNOWN114864,,,EAST SPARTANBURG,,,6287.914482
AIRWAY,,,TAP153882,,,1007.527869
UNKNOWN127855,,,TAP153722,,,801.1662827
UNKNOWN119088,,,TAP149261,,,15961.48489
UNKNOWN118502,,,ELK CITY LLC,,,16583.64016
UNKNOWN120786,,,UNKNOWN120810,,,6812.77681
FOWLES,,,IMPERIAL,,,21234.97074
STRAITS,,,EVERGREEN,,,3341.113736
CWLP,,,TAP139415,,,5563.857846
TAP149548,,,TAP149655,,,25650.86436
KING PLANT,,,MAXWELL,,,57857.20778
UNKNOWN129933,,,UNKNOWN129934,,,3482.503271
UNKNOWN123362,,,TAP138289,,,716.596187
UNKNOWN124368,,,UNKNOWN124525,,,5847.280517
UNKNOWN143563,,,UNKNOWN144275,,,5473.66147
UNKNOWN116565,,,UNKNOWN116566,,,3704.244322
UNKNOWN124873,,,TAP137926,,,33.46904787
PARADISE,,,TAP155281,,,35743.70766
UNKNOWN136839,,,TAP151000,,,8680.227786
ALBERTVILLE,,,TAP153400,,,13337.5655
TAP150316,,,NEWPORT TIE,,,6075.509413
RAPID CITY DC TIE,,,NEW UNDERWOOD,,,41701.92109
SOUTH MEADOW,,,NOT AVAILABLE,,,160.7304386
TAP136399,,,TAP136402,,,9155.116133
TAP142573,,,TAP142574,,,6272.620654
UNKNOWN118557,,,UNKNOWN118559,,,5713.810396
UNKNOWN109849,,,TAP146025,,,1018.466823
TAP143187,,,TRICOU,,,84.08235479
UNKNOWN114427,,,UNKNOWN114430,,,854.5996313
UNKNOWN133544,,,UNKNOWN136273,,,5916.062776
UNKNOWN119173,,,UNKNOWN119433,,,26842.44064
UNKNOWN121724,,,UNKNOWN121725,,,13228.82046
UNKNOWN132156,,,DES MOINES,,,8150.154446
UNKNOWN111639,,,TAP148398,,,769.1980567
UNKNOWN128381,,,UNKNOWN128507,,,43857.23665
DALE,,,TAP137403,,,3450.678308
UNKNOWN118033,,,TAP138857,,,2664.519587
UNKNOWN111021,,,NEW ALBANY,,,18323.53134
UNKNOWN121335,,,WOODWARD SUBSTATION,,,20109.57232
LLOYD SHOALS,,,NOT AVAILABLE,,,188.2204855
TAP143856,,,TAP143857,,,10656.71176
UNKNOWN112161,,,TAP142490,,,11123.76489
MORGANTOWN,,,HAWKINS GATE,,,27282.65624
TAP144419,,,SOUTH MONROE,,,1700.6163
UNKNOWN123960,,,TAP139050,,,252.5735016
TAP135385,,,BRIDGEWATER,,,10597.41472
TAP153487,,,TAP155166,,,2691.564514
MEDWAY,,,TAP136364,,,4929.353876
MOORHEAD,,,TAP142177,,,19.29226844
UNKNOWN109767,,,TAP143351,,,50.49994641
PIONEER GENERATING STATION,,,NOT AVAILABLE,,,44.12896737
TAP151178,,,TAP153122,,,35793.35262
UNKNOWN123850,,,UNKNOWN127757,,,12238.11052
UNKNOWN123505,,,TAP139325,,,210.9573244
UNKNOWN130471,,,TAP134622,,,6266.807161
UNKNOWN109655,,,TAP146075,,,6306.42266
UNKNOWN108934,,,TAP155317,,,12520.7961
PRINCETON (MN),,,TAP139688,,,2813.24526
TAP147216,,,TAP147218,,,4551.438931
DARRAH,,,TAP137843,,,9351.452814
UNKNOWN110324,,,NOT AVAILABLE,,,480.0778237
ALICO,,,FORT MYERS SWITCHYARD,,,34339.1811
UNKNOWN117580,,,TAP153757,,,97.22502243
UNKNOWN112315,,,TAP150118,,,18.51341388
UNKNOWN132154,,,RISER137684,,,107.2716652
GREENTOWN,,,DUMONT,,,167569.4361
TAP155308,,,UNKNOWN155312,,,1115.707298
UNKNOWN110365,,,TAP144817,,,83.2296417
TAP134259,,,UNKNOWN134269,,,14603.83117
TAP152677,,,TAP152678,,,2428.856329
ORRTANNA,,,NOT AVAILABLE,,,103.181143
UNKNOWN114893,,,UNKNOWN114895,,,2711.393403
UNKNOWN145419,,,TAP145438,,,501.1144237
UNKNOWN109359,,,TAP142847,,,5129.327116
UNKNOWN110619,,,UNKNOWN110630,,,3419.783903
UNKNOWN115715,,,UNKNOWN115716,,,3254.89129
TAP150455,,,BROOKSVILLE,,,7332.246931
UNKNOWN128371,,,TAP144568,,,99.94722733
TAP139235,,,MIDDLEBURG,,,11350.5289
UNKNOWN117460,,,UNKNOWN117493,,,78981.35534
FARGO,,,UNKNOWN122866,,,44482.17422
UNKNOWN135019,,,VALLEY CITY,,,59905.26579
UNKNOWN131372,,,TAP137955,,,12891.70732
LASCASSAS,,,LEBANON,,,36809.26338
UNKNOWN116115,,,TAP142980,,,6058.327932
UNKNOWN117720,,,UNKNOWN117793,,,26004.10034
TAP141201,,,LINCOLN,,,12637.61624
UNKNOWN133933,,,MINOT WIND PROJECT,,,25264.10098
FIRSTENERGY ARMSTRONG POWER STATION,,,UNKNOWN123627,,,24296.28081
UNKNOWN118591,,,TAP149646,,,20823.37794
UNKNOWN121694,,,TAP142151,,,16791.21967
RINGGOLD,,,UNKNOWN122891,,,46676.63613
UNKNOWN110639,,,ALLATOONA,,,10625.50651
UNKNOWN122684,,,UNKNOWN122970,,,52327.30578
UNKNOWN120219,,,PIEDMONT,,,10454.89051
UNKNOWN147501,,,TAP147502,,,5915.852192
UNKNOWN135135,,,BUFFALO,,,30172.07833
TYLER,,,HARROWGATE,,,9095.452325
TAP144215,,,UNKNOWN144216,,,4285.559888
UNKNOWN112648,,,BEHRMAN,,,7518.813559
UNKNOWN113390,,,BELTON,,,16328.60506
OAKWOOD VILLA,,,TAP150863,,,435.0143406
YUKON,,,TAP150498,,,510.8806288
UNKNOWN133299,,,NOT AVAILABLE,,,197.3934472
UNKNOWN111173,,,UNKNOWN111509,,,12990.33355
UNKNOWN118129,,,TAP138831,,,39.13578044
TAP152204,,,TAP152205,,,2955.139596
UNCASVILLE,,,TAP136507,,,123.609362
UNKNOWN116018,,,UNKNOWN116354,,,2954.2255
UNKNOWN132751,,,UNKNOWN136925,,,190.3168935
BROOK STREET,,,KINGSTON,,,6730.993975
HARLAN Y,,,ARNOLD,,,45976.10271
TAP146808,,,TAP146809,,,8426.628786
UNKNOWN130385,,,TAP137105,,,7979.951602
UNKNOWN123117,,,TAP142322,,,545.862453
UNKNOWN117248,,,TAP149416,,,794.6904618
UNKNOWN112726,,,UNKNOWN114635,,,21139.37956
UNKNOWN115024,,,PLEASANT GARDEN,,,41788.03911
UNKNOWN118114,,,TAP138814,,,11104.93882
TAP134630,,,FORBES,,,10205.29653
TAP152891,,,TAP154582,,,13670.6035
UNKNOWN112259,,,TAP148443,,,80.2591149
UNKNOWN135141,,,RISER135658,,,20637.54088
LEOLA,,,TAP146532,,,80.16370376
UNKNOWN132422,,,UNKNOWN132423,,,20863.22641
UNKNOWN108832,,,UNKNOWN108834,,,40751.5039
UNKNOWN117997,,,UNKNOWN119865,,,54169.65707
UNKNOWN116047,,,TAP153118,,,86.44170485
UNKNOWN127862,,,TAP139494,,,683.2461804
TAP137092,,,TAP137094,,,8210.55814
UNKNOWN130005,,,NOT AVAILABLE,,,676.8129215
THIEF RIVER FALLS,,,TAP133981,,,1408.458293
TAP146017,,,TAP146023,,,9910.346994
EPHRATAH,,,TAP141244,,,7555.242526
UNKNOWN121963,,,TAP137639,,,2454.428227
UNKNOWN122692,,,UNKNOWN122695,,,39605.5588
UNKNOWN114691,,,UNKNOWN114692,,,1283.288617
PAYNE,,,TAP154558,,,1157.506931
SHEPHERD CENTER,,,BOULEVARD,,,4718.860255
UNKNOWN123953,,,UNKNOWN123954,,,7895.320226
UNKNOWN116670,,,TAP151238,,,17.99170549
UNKNOWN123855,,,UNKNOWN127750,,,8882.262915
UNKNOWN111734,,,UNKNOWN111735,,,4364.45417
TAP151528,,,NORMANDY,,,10115.94237
UNKNOWN107762,,,UNKNOWN107770,,,10709.2178
FRANKLIN DRIVE,,,NOT AVAILABLE,,,55.40119805
TAP139228,,,CANNON BRANCH,,,5154.276978
UNKNOWN131659,,,UNKNOWN131662,,,5951.369859
UNKNOWN118501,,,TAP149718,,,18242.27593
TAP148299,,,TAP148300,,,25.09511624
TAP136740,,,TAP136743,,,38.9125261
TAP149621,,,TAP149622,,,18.5326464
UNKNOWN128619,,,PARR ROAD,,,40593.86976
UNKNOWN115091,,,TAP150634,,,8088.738046
LITTLE OGEECHEE,,,DANIEL SIDING,,,18981.38478
YAPHANK,,,BROOKHAVEN,,,5475.844543
UNKNOWN139880,,,UNKNOWN139881,,,1364.102709
UNKNOWN125185,,,UNKNOWN125187,,,9933.883238
UNKNOWN123734,,,TAP138487,,,3802.375645
HUNTLEY,,,TAP145585,,,2129.918335
CONOWINGO,,,TAP139391,,,7245.159678
UNKNOWN119175,,,UNKNOWN119176,,,138.3214593
JACKSONVILLE,,,TAP148433,,,9390.499477
CAMPBELL JUNCTION,,,TAP155427,,,112.7068224
SOUTH COLTON,,,TAP140317,,,238.0326592
BOXWOOD,,,CLIFFORD,,,18165.71397
UNKNOWN109195,,,TAP144727,,,26.15620216
TAP147819,,,ST. JOHNS,,,21307.15855
UNKNOWN116625,,,TAP150273,,,2258.435523
TAP146635,,,TAP146636,,,5759.954411
UNKNOWN118508,,,UNKNOWN118801,,,6317.715289
HACIENDA SUBSTATION,,,ROBISON PARK (138 KV),,,9413.90306
UNKNOWN137803,,,TAP137804,,,41.46838567
UNKNOWN114014,,,TAP154446,,,2950.949411
TAP138425,,,BUXMONT,,,4786.276259
FAIR DRIVE,,,ARLINGTON,,,3795.606341
UNKNOWN124879,,,TAP140271,,,7546.078802
UNKNOWN108078,,,LITTLE ROCK ARCH ST,,,22322.42731
UNKNOWN122477,,,TAP151706,,,1450.347519
TAP136270,,,TAP136271,,,6031.487069
UNKNOWN113731,,,FOWLES,,,16089.15378
UNKNOWN124483,,,CONNERSVILLE,,,30628.77059
UNKNOWN111769,,,UNKNOWN111770,,,4483.864588
UNKNOWN124933,,,TAP138427,,,174.4739836
UNKNOWN114534,,,TAP161653,,,3008.543759
LAWRENCE SW,,,LAWRENCE,,,319.1098294
TAP151508,,,UNKNOWN151509,,,174.2290817
HOLCOMBE,,,NOT AVAILABLE,,,83.79693207
CORRIDOR,,,BLENDON SUBSTATION,,,13927.11477
UNKNOWN118559,,,TAP149250,,,910.6341852
UNKNOWN113044,,,TAP152494,,,13.68784868
TAP152082,,,GREENEVILLE,,,33569.67131
UNKNOWN113661,,,TAP137148,,,2138.310231
UNKNOWN134355,,,TAP134360,,,2674.41927
MABELVALE SUBSTATION,,,WRIGHTSVILLE,,,28817.74139
UNKNOWN118616,,,TAP138820,,,23673.47721
UNKNOWN130656,,,UNKNOWN130658,,,8293.25866
BOQUERON 6702,,,LAJAS 6601 6602,,,9986.97868
UNKNOWN110087,,,UNKNOWN110088,,,5973.090354
UNKNOWN108033,,,TAP149980,,,2299.750475
UNKNOWN125522,,,TAP138334,,,11105.78217
UNKNOWN110741,,,LOOKOUT SHOALS,,,485.5103738
UNKNOWN131920,,,UNKNOWN131923,,,14410.15873
UNKNOWN116202,,,JOHNSON BAYOU,,,18020.50896
UNKNOWN123643,,,TAP138492,,,3653.909978
EL DORADA JACKSON,,,UNKNOWN107841,,,5709.711932
UNKNOWN112459,,,RICHARD,,,21073.23497
TAP144764,,,TAP144765,,,244.338643
TAP140793,,,FIVE CORNERS,,,90.19347082
TAP139777,,,PEACH GROVE D.P.,,,65.05596981
TAP142491,,,TAP142734,,,17099.83327
UNKNOWN118547,,,UNKNOWN118561,,,4058.614083
UNKNOWN124681,,,TAP155075,,,5644.939104
TAP145915,,,TAP145916,,,7176.925238
UNKNOWN115094,,,TAP148474,,,18994.98892
UNKNOWN124434,,,TAP138168,,,133.0020239
TAP138910,,,TAP138915,,,22245.13727
UNKNOWN137854,,,TAP171457,,,5425.35552
TAP140209,,,TAP140210,,,77.30675361
V C SUMMER,,,DENNY TERRACE,,,51387.10352
GRINNELL,,,NOT AVAILABLE,,,46.72022387
TAP135909,,,EAST HAMPTON,,,138.0481289
UNKNOWN129603,,,TAP138580,,,35680.12338
UNKNOWN116045,,,TAP142212,,,10176.68308
GRACEVILLE,,,TAP153043,,,22558.64017
TAP150529,,,NOT AVAILABLE,,,358.9127557
UNKNOWN113920,,,TAP137606,,,3763.646599
OSWEGO,,,NOT AVAILABLE,,,614.3583553
UNKNOWN125480,,,TAP140462,,,186.5667401
UNKNOWN108136,,,UNKNOWN117275,,,34521.35823
TAP150542,,,TAP150895,,,9155.800969
UNKNOWN120836,,,TAP140520,,,13815.66542
TAP148225,,,TAP148226,,,2225.572688
TAP139210,,,BULL RUN,,,8301.527606
PARKS,,,TAP143385,,,55.95022949
WING RIVER,,,VERNDALE,,,2673.16527
UNKNOWN132302,,,MONTVILLE,,,57056.57765
UNKNOWN129271,,,ARROWHEAD,,,25652.85517
UNKNOWN122317,,,TAP137892,,,153.3587708
TAP150349,,,TAP154133,,,24881.06402
UNKNOWN109316,,,TAP143018,,,4304.784016
UNKNOWN113561,,,UNKNOWN115676,,,75210.0512
SUMNER,,,TAP140225,,,4662.93531
FIVE FALLS,,,TAP141232,,,28.43992828
VAHNUNDASIS,,,UNKNOWN127515,,,5629.421118
NEW FREEDOM,,,CARDIFF,,,68974.97815
LOGANSPORT,,,UNKNOWN123998,,,801.5946719
UNKNOWN113924,,,FRONT,,,4062.555072
UNKNOWN115226,,,YKK USA CHESTNEY,,,2325.14039
CHEMICAL,,,SOUTH CHARLSTON SUBSTATION,,,1245.476288
UNKNOWN115049,,,PEACH VALLEY TIE,,,3195.591518
BRANDON,,,TAP154505,,,3129.795179
GREENVILLE,,,NORTH GREENVILLE TIE,,,4406.436474
DUGAN,,,TAP124231,,,831.9619508
UNKNOWN133989,,,TAP133990,,,2355.429977
UNKNOWN132502,,,UNKNOWN132503,,,44806.47262
UNKNOWN119509,,,SAPULPA ROAD,,,11389.47729
RITCHIE,,,KINGSWOOD,,,7281.38279
UNKNOWN112187,,,TAP154243,,,767.5331321
UNKNOWN109450,,,TAP137403,,,9425.17834
UNKNOWN133268,,,TAP140839,,,10263.5806
UNKNOWN111662,,,NEW BERN,,,11199.60439
TAP146558,,,UNKNOWN146559,,,5868.844071
COLONY,,,YORKTOWN,,,19548.1521
DEVILS LAKE,,,BARLOW,,,95926.6368
UNKNOWN116276,,,UNKNOWN116279,,,16115.92815
DICKERSON,,,DOUBS,,,16959.28043
TAP155046,,,TAP156094,,,15413.87232
TAP139355,,,TAP156257,,,21810.74769
UNKNOWN133904,,,TAP138517,,,21659.82048
TILTON,,,TAP145943,,,3832.524812
ST. MARTINS,,,ROOT RIVER,,,19487.03917
UNKNOWN116733,,,TAP151224,,,6036.314832
UNKNOWN133714,,,HATCHVILLE,,,5946.028805
MONOCACY,,,FREDERICK,,,3726.119848
UNKNOWN123048,,,PUMPHREY,,,16827.01008
OSTEEN,,,CELERY,,,11838.28717
UNKNOWN110114,,,UNKNOWN110118,,,2474.687666
UNKNOWN131865,,,UNKNOWN131866,,,26788.28268
UNKNOWN109800,,,TAP144723,,,13755.95584
EUFAULA,,,UNKNOWN118964,,,29331.65508
CUTLER,,,CORAL REEF,,,8640.132371
KILN,,,TAP142829,,,10373.79383
UNKNOWN131498,,,TAP144161,,,25.81430111
SEAFORD,,,YORKTOWN,,,14571.19701
UNKNOWN107970,,,TAP142010,,,414.8398885
CHARLOTTE,,,CALUSA,,,37413.70273
UNKNOWN124844,,,TAP138331,,,17633.48414
TAP154930,,,WASHINGTON AVE,,,5073.217292
MAIDEN FINGER STREET,,,TAP151687,,,2586.47087
UNKNOWN120758,,,TAP142388,,,4073.307866
CHARLOTTE,,,UNKNOWN152762,,,70749.4662
UNKNOWN115955,,,UNKNOWN116544,,,8631.283306
MILLBURY NO.2,,,TAP136362,,,106.8302947
UNKNOWN122737,,,TOWER ROAD,,,12156.56354
TAP137773,,,TAP169328,,,11560.57939
TALBERT TAP,,,HAWKINS GATE,,,27557.44353
COVINGTON,,,LOWMOOR,,,12062.3134
UNKNOWN144275,,,UNKNOWN144281,,,2667.733413
TAP142717,,,TAP142718,,,13.71393702
UNKNOWN117768,,,UNKNOWN117769,,,269.819119
UNKNOWN114635,,,LAKEWOOD,,,333.7128355
UNKNOWN116267,,,UNKNOWN116268,,,27367.09442
UNKNOWN130385,,,TAP155317,,,6121.192386
UNKNOWN130719,,,BOONE,,,11952.17169
UNKNOWN122081,,,BLUE MOUND,,,12108.37177
UNKNOWN121622,,,TAP149978,,,22578.25344
UNKNOWN131852,,,TAP134758,,,38.21562361
UNKNOWN115954,,,TAP143363,,,11294.81097
UNKNOWN109183,,,TAP146092,,,3425.834989
UNKNOWN151647,,,UNKNOWN152396,,,850.4557407
UNKNOWN110909,,,TAP142073,,,9.727071213
RAPIDE CROCHE,,,NOT AVAILABLE,,,257.420319
UNKNOWN111889,,,TAP143212,,,1883.272754
TAP152064,,,TAP152065,,,1010.093529
FAIR DRIVE,,,NORTH KNOX,,,6403.310351
TAP140378,,,TAP140385,,,4063.41798
CHARITY CHURCH,,,UNKNOWN109664,,,7709.220975
MARTIN,,,INDIANTOWN,,,24414.0165
UNKNOWN128892,,,TAP139990,,,4370.150396
ARTHUR ROAD,,,ST. LAWRENCE,,,201.6663726
LIME,,,TAP154558,,,855.8978901
UNKNOWN113482,,,UNKNOWN113488,,,2275.246626
WEST BABYLON,,,PINELAWN,,,8503.442943
UNKNOWN114165,,,TAP147452,,,18426.78673
UNKNOWN125030,,,UNKNOWN139883,,,6958.716211
